State,Total,Current spending,Capital outlay,Other,Per pupil current spending (whole dollars),Fall enrollment
  Total,712221691,633500999,61803885,16916807,16340.25322,37505611
Alabama,10116376,8989322,957663,169391,11819.43375,745178
Alaska,2872579,2633081,215515,23983,20190.9284,129944
Arizona,11424564,9470332,1698480,255752,10330.21651,898777
Arkansas,6535507,5691846,688320,155341,12159.10385,465413
California,110508775,96537166,10313609,3658000,17754.99366,5336719
Colorado,14854113,12162537,2017401,674175,12877.08439,856067
Connecticut,12854862,11865525,883234,106103,24452.9606,468926
Delaware,2575145,2386739,173116,15290,19356.74711,122734
District of Columbia,1428898,1397560,31338,0,27424.71471,48635
Florida,35653383,31804550,3298621,550212,11075.89095,2805486
Georgia,25670071,23195042,2232971,242058,13618.65889,1699426
Hawaii,3356412,3034178,322234,0,17420.43447,173178
Idaho,2974277,2790508,132726,51043,9669.879669,286544
Illinois,40431044,35887069,3437657,1106318,18959.26955,1861261
Iowa,8195087,6808643,1241749,144695,13258.96436,510661
Kentucky,10214383,9042389,945761,226233,13688.85396,654098
Maryland,17636964,15669446,1772432,195086,17752.85791,881064
Massachusetts,20745588,20369791,55668,320129,21905.75139,859323
Michigan,23232242,19881607,2593321,757314,15718.57148,1244451
Minnesota,15706499,12878372,2250297,577830,15440.64537,797739
Mississippi,5350825,4797272,553553,0,10983.32897,435186
Missouri,13159870,11164223,1690549,305098,12681.58209,863111
Montana,2336380,2032956,249600,53824,13582.05459,148974
Nebraska,5479123,4675220,672111,131792,14275.03033,327273
New Hampshire,3707168,3485541,182115,39512,21605.0034,160371
New Jersey,36751917,34933635,1534844,283438,25098.75154,1307453
New York,75904850,70210586,3838135,1856129,27504.13863,2373008
North Carolina,18800723,17182104,1618619,0,12298.38254,1392119
North Dakota,2190791,1869114,266380,55297,15842.62287,116834
Ohio,28026867,24594891,2588151,843825,15487.66462,1564321
Oklahoma,7999863,6997972,908470,93421,10889.56531,638821
Oregon,11186591,9091552,1567730,527309,15754.05111,551269
Pennsylvania,36307544,32572719,2718150,1016675,19186.28092,1508920
Rhode Island,2893315,2710843,142474,39998,19961.95915,126075
South Carolina,9640835,8295018,1072385,273432,11746.70338,700491
South Dakota,1934718,1650560,248552,35606,11564.21384,141021
Tennessee,12515375,11225841,1051102,238432,11317.36895,984337
Vermont,2256516,2170570,76778,9168,24607.98327,83675
Virginia,20531145,18898068,1521654,111423,15058.78987,1249688
Washington,22615798,18535537,2695360,1384901,17119.32464,1075813
Wisconsin,13780701,12185660,1207398,387643,14504.93664,818471
Wyoming,1864007,1725414,137662,931,18529.4644,92756
